ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YAL001C	          162.15	          238.30	            NULL	          119.30	          313.10	          102.40	            NULL
YAL002W	           73.45	            NULL	           50.20	            NULL	           77.00	           58.90	            NULL
YAL003W	        11741.95	         6015.40	         5621.20	         6260.60	         6680.10	         6471.10	         7689.80
YAL004W	           16.00	           29.60	           36.70	           46.40	           54.40	            NULL	           49.60
YAL005C	         3113.35	        10428.80	         8271.70	         7017.10	         5073.00	         2810.10	         3211.00
YAL007C	          553.75	          756.90	          490.10	          538.40	          439.20	          564.20	          757.10
YAL008W	          204.75	         1035.80	          428.10	          401.20	          342.20	          242.50	          293.20
YAL009W	          136.90	          108.10	            NULL	           46.40	          112.60	            NULL	           52.90
YAL010C	            NULL	            NULL	          106.90	           59.50	          122.30	            NULL	            NULL
YAL011W	           89.90	          283.70	          155.40	          149.80	          219.30	          102.40	          185.50
YAL012W	         4250.60	         5155.80	         5057.10	         3746.20	         4106.10	         3378.50	         4357.70
YAL013W	          246.70	          199.00	            NULL	            NULL	            NULL	            NULL	            NULL
YAL014C	          248.80	          610.20	          382.20	          349.00	          293.70	          307.60	          308.10
YAL015C	           84.60	          258.90	            NULL	          132.40	            NULL	          151.70	            NULL
YAL016W	          810.05	         2192.90	         1013.80	         1168.60	          911.30	          872.10	         1226.00
YAL017W	           78.65	          430.40	            NULL	           84.50	          148.10	           96.40	          125.80
YAL018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL019W	          241.80	          213.50	            NULL	          204.20	          219.30	          189.20	          299.80
YAL020C	          108.60	          273.40	          158.10	          131.30	          138.40	           92.50	          202.00
YAL021C	          301.90	          469.70	          166.20	          315.30	          222.50	          270.10	          336.20
YAL022C	          251.55	          190.80	            NULL	           86.70	          193.40	          165.50	          157.30
YAL023C	          867.90	          347.80	          395.70	          480.70	          309.80	          530.60	          649.40
YAL024C	           38.90	           31.70	           63.70	            NULL	            NULL	           49.10	            NULL
YAL025C	          610.10	          213.50	          314.70	          289.10	          306.60	          252.40	          231.90
YAL026C	           93.40	          141.20	          109.60	           99.70	           89.90	           98.40	          105.90
YAL027W	          160.70	          269.30	          168.90	          126.90	          174.00	          124.10	          195.40
YAL028W	           32.00	            NULL	           77.20	            NULL	            NULL	            NULL	            NULL
YAL029C	          339.35	          643.30	          479.30	          232.50	          445.60	          471.40	          445.60
YAL030W	          695.70	         3178.50	         1872.10	         1149.00	         1580.60	         1132.60	         1232.70
YAL031C	          198.10	          209.30	            NULL	            NULL	            NULL	            NULL	            NULL
YAL032C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL033W	          247.85	          219.70	            NULL	            NULL	            NULL	            NULL	          157.30
YAL034C	           30.90	            NULL	            NULL	           54.00	            NULL	            NULL	            NULL
YAL034W-A	            NULL	            NULL	            NULL	            0.00	            NULL	            7.60	           11.50
YAL035C-A	            NULL	            NULL	            NULL	           17.00	            NULL	            NULL	            NULL
YAL035W	         2408.35	         2021.40	         1882.90	         2012.20	         2489.30	         1860.80	         2374.30
YAL036C	         1164.55	          496.60	          422.70	          457.80	          552.40	          489.20	          604.70
YAL037W	            NULL	          227.90	          141.90	           84.50	          119.00	          108.30	          163.90
YAL038W	        20179.05	        17693.50	        17572.90	        12837.30	        17807.00	        13096.50	        15325.00
YAL039C	          483.05	         1798.30	          892.30	         1133.80	         1224.90	         1211.50	         1098.40
YAL040C	          274.80	          558.50	          271.50	          244.50	          313.10	          331.30	          359.40
YAL041W	          106.35	           44.10	           77.20	           87.80	           80.20	           64.90	           57.90
YAL042W	         1185.15	          624.70	          525.20	          658.10	          497.40	          678.70	          695.80
YAL043C	          150.00	          201.10	           63.70	           76.90	          174.00	          130.00	           97.60
YAL043C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL044C	         2896.45	         4531.80	         5248.70	         3339.10	         2961.40	         1772.00	         1986.60
YAL045C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL046C	          203.95	          351.90	          225.60	          145.50	          183.70	          135.90	          173.90
YAL047C	            NULL	          114.30	            NULL	           36.60	            NULL	            NULL	            NULL
YAL048C	           72.85	           29.60	            NULL	           15.90	            NULL	            NULL	            NULL
YAL049C	          724.60	         1354.00	          832.90	          622.20	          707.60	          574.10	          755.50
YAL051W	          129.80	          364.30	          136.50	          112.80	          164.30	          135.90	          197.10
YAL053W	          392.30	         1903.60	         1156.80	          896.50	         1102.10	         1481.90	         1656.80
YAL054C	          134.80	          219.70	            NULL	            NULL	            NULL	           96.40	            NULL
YAL055W	          279.20	          635.00	          222.90	          182.50	          206.40	          195.10	          221.90
YAL056W	          157.25	          188.70	          158.10	          121.50	          177.30	          102.40	          149.00
YAL058C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL058W	          223.80	          240.30	          185.10	          215.10	          322.80	          201.00	          256.70
YAL059W	          781.05	          372.60	          320.10	          558.00	          423.00	          433.90	          364.40
YAL060W	          448.00	          942.80	          992.20	          524.20	          581.50	          396.40	          434.00
YAL061W	           78.10	         2614.40	          220.20	           47.50	            NULL	            NULL	            NULL
YAL062W	           60.70	          343.70	            NULL	          145.50	          232.20	          155.60	          155.60
YAL063C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL064W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL067C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAL068C	          850.80	         1180.50	          935.50	          702.80	          859.50	          730.00	          894.60
YAL069W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002C-A	          844.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR002W	          325.60	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR003W	          125.20	          256.90	            NULL	          141.10	          154.60	          116.20	          124.20
YAR007C	          140.15	          279.60	          187.80	           86.70	          216.10	          147.80	          220.30
YAR008W	          306.90	          182.50	            NULL	          136.70	          290.40	          141.80	          140.70
YAR009C	         4831.65	         7337.70	         7211.00	         4595.20	         3921.80	         3246.30	         4675.80
YAR010C	         1772.60	         1242.40	         1831.60	         2470.50	          940.40	         1004.30	         1085.20
YAR014C	          130.90	          178.40	           69.10	          132.40	            NULL	           82.60	          119.20
YAR015W	          909.05	         6126.90	         7067.90	         3010.40	         1810.20	         1422.70	         2076.00
YAR018C	           89.75	          122.60	            NULL	           78.00	            NULL	           80.70	            NULL
YAR019C	           29.55	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR020C	         2651.20	         4622.80	         2322.80	         1942.60	         4167.60	         3848.20	         4245.00
YAR023C	           34.50	            NULL	           58.30	            NULL	            NULL	           45.10	            NULL
YAR027W	          195.65	          661.80	          328.20	          289.10	          306.60	          396.40	          409.10
YAR028W	            NULL	            NULL	           79.90	           37.70	            NULL	            NULL	            NULL
YAR029W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR030C	           47.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR031W	           14.90	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR033W	          139.50	          277.50	            NULL	          208.60	          458.60	          360.90	          270.00
YAR035W	           91.20	          393.20	            NULL	          189.00	          157.80	          256.30	          306.40
YAR042W	            NULL	            NULL	            NULL	          595.00	            NULL	            NULL	          614.60
YAR044W	           56.20	          153.60	           74.50	          101.90	          206.40	            NULL	          101.00
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR053W	            NULL	            NULL	            NULL	            NULL	            NULL	           76.70	            NULL
YAR060C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR068W	          213.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR069C	            NULL	          217.60	          101.50	            NULL	          138.40	          151.70	          142.40
YAR070C	            6.80	           75.00	           66.40	           36.60	           89.90	           25.40	            4.90
YAR071W	         1700.25	          986.20	         1572.50	          844.30	          604.10	          240.50	          255.10
YAR073W	          398.50	            NULL	            NULL	          124.80	            NULL	          126.00	          192.10
YAR075W	         1163.75	         1095.70	          633.20	          406.70	          584.70	          660.90	          992.40
YBL001C	         1130.50	         3426.40	         2142.00	         2159.20	         3103.70	         2105.60	         2869.70
YBL002W	         2903.15	         2155.70	         1030.00	          758.30	         1732.60	         2008.90	         3777.70
YBL003C	         4926.00	         8277.90	         3367.40	         2115.60	         4752.80	         6311.30	         7860.40
YBL004W	          415.10	            NULL	            NULL	            NULL	            NULL	           53.00	           16.50
YBL005W	           86.20	          209.30	          163.50	          123.70	          151.40	           88.50	          137.40
YBL005W-A	           41.70	            NULL	          115.00	          171.60	          112.60	           53.00	           38.00
YBL005W-B	         4618.90	         8261.30	         6484.90	         4274.10	         4765.80	         5583.00	         6379.10
YBL006C	         1153.40	         1002.80	          617.00	          560.20	          672.00	          672.70	          732.30
YBL007C	          953.00	         2188.80	         1362.00	          697.30	          662.30	          870.10	         1076.90
YBL008W	           37.05	            NULL	            NULL	            1.80	            NULL	            NULL	            NULL
YBL009W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL010C	            NULL	            NULL	           96.10	           20.30	            NULL	            NULL	            NULL
YBL011W	          267.30	          451.10	          252.60	          123.70	          306.60	          262.20	          331.30
YBL012C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL013W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL014C	          128.25	           70.90	          112.30	          107.40	            NULL	           57.00	            NULL
YBL015W	          157.00	          829.20	          298.50	          115.00	          229.00	          161.60	          155.60
YBL016W	          178.40	          459.40	          287.70	          251.00	          235.50	          193.10	          202.00
YBL017C	          816.80	         1403.60	          706.10	          476.40	          710.80	          597.70	          571.50
YBL018C	          472.65	          416.00	          309.30	          228.20	          277.50	          224.70	          288.20
YBL019W	           84.70	            NULL	            NULL	           54.00	            NULL	            NULL	            NULL
YBL020W	           89.15	           91.60	          112.30	            NULL	          106.10	            NULL	          107.60
YBL021C	          252.50	          304.40	          185.10	          105.20	          144.90	          110.30	          135.80
YBL022C	          560.85	         1101.90	          654.80	          293.50	          423.00	          388.50	          579.80
YBL023C	           59.80	           73.00	            NULL	           43.10	           28.50	           33.30	           59.50
YBL024W	          367.55	          244.50	          244.50	          192.30	          293.70	          224.70	          283.20
YBL025W	          198.70	          256.90	          187.80	          117.20	          196.70	          132.00	          187.10
YBL026W	          881.65	         1719.70	          992.20	          671.20	          979.20	          852.30	          942.70
YBL027W	         7097.70	         3073.10	         2830.30	         1831.50	         2638.00	         2241.70	         2652.70
YBL028C	          645.70	          378.80	          212.10	          252.10	          374.50	          333.30	          289.80
YBL029W	           95.30	          234.10	           44.80	           68.20	          128.70	           66.80	            NULL
YBL030C	         3542.25	         7184.80	         4452.50	         2782.90	         3621.10	         2914.70	         3681.60
YBL031W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL032W	          328.75	          246.50	          125.80	          101.90	          132.00	           94.50	          188.80
YBL033C	          398.35	          473.80	          285.00	          341.40	          575.00	          408.30	          434.00
YBL034C	          184.95	          225.90	            NULL	          107.40	          222.50	          165.50	          157.30
YBL035C	          201.85	          211.40	          155.40	           95.40	          135.20	          171.40	          241.80
YBL036C	          427.05	          604.00	          411.90	          427.40	          478.00	          364.90	          442.30
YBL037W	            NULL	            NULL	            NULL	            NULL	            NULL	           39.20	            NULL
YBL038W	          495.05	          942.80	          554.90	          374.00	          542.70	          439.80	          442.30
YBL039C	         1598.70	          248.60	          366.00	          653.80	          752.80	          680.60	          818.40
YBL040C	          655.30	         1436.70	         1156.80	          856.20	         1150.60	          909.60	         1342.00
YBL041W	          836.50	         1779.70	         1008.40	          604.80	         1047.10	          720.10	         1174.70
YBL042C	          605.30	          845.70	          511.70	          824.70	         1024.50	         1002.30	         1675.10
YBL043W	           41.70	          213.50	            NULL	           86.70	          157.80	            NULL	            NULL
YBL044W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL045C	          336.80	          556.50	          293.10	          338.10	          448.90	          406.30	          362.80
YBL046W	          172.20	          128.80	           63.70	            7.20	           83.50	           23.40	           33.00
YBL047C	          154.30	          283.70	          187.80	           79.10	            NULL	          124.10	          149.00
YBL048W	            NULL	            NULL	            NULL	            NULL	            NULL	           55.00	            NULL
YBL049W	           33.60	          166.00	          109.60	           67.10	            NULL	            NULL	          160.60
YBL050W	          605.70	         1560.60	          889.60	          580.80	          604.10	          609.60	          783.60
YBL051C	          214.75	            NULL	          314.70	          329.40	          274.30	          212.90	          250.10
YBL052C	          157.05	            NULL	          115.00	           51.80	            NULL	          100.40	           89.40
YBL053W	          205.20	          296.10	          241.80	          157.40	            NULL	          155.60	          185.50
YBL054W	          552.45	           60.60	            NULL	          147.60	          151.40	          207.00	          145.70
YBL055C	          172.50	          234.10	          231.00	          232.50	          267.80	          201.00	          221.90
YBL056W	          235.35	          436.60	          347.10	          342.50	          374.50	          222.80	          273.30
YBL057C	          374.95	          343.70	          168.90	          161.80	          167.60	          270.10	          173.90
YBL058W	         1136.45	         1176.30	          665.60	          391.50	          630.00	          676.70	          690.80
YBL059W	            NULL	          283.70	            NULL	           72.50	            NULL	           88.50	           97.60
YBL060W	          113.30	          114.30	           66.40	           46.40	            NULL	           82.60	          129.10
YBL061C	          470.00	          674.20	          503.60	          366.40	          523.20	          469.50	          551.60
YBL062W	          103.40	          316.80	          231.00	          108.40	          190.20	          201.00	          216.90
YBL063W	           28.00	            NULL	            NULL	            NULL	            NULL	           29.30	            NULL
YBL064C	          191.00	         1790.00	          768.10	          339.20	          403.60	          301.70	          328.00
YBL065W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL066C	            NULL	           81.20	           17.80	           23.50	           22.00	            NULL	            NULL
YBL067C	          114.40	          213.50	          112.30	          133.50	          170.80	           84.60	           82.70
YBL068W	         1010.65	         1135.00	          727.70	          715.80	          982.40	          767.50	          901.30
YBL069W	           90.90	          143.20	           93.40	           56.20	           54.40	           70.80	          149.00
YBL070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL071C	           51.40	          166.00	            NULL	          113.90	           80.20	            NULL	          120.80
YBL072C	        19988.00	         5821.20	         4997.70	         5027.30	         8487.70	         6964.50	        11149.50
YBL073W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL074C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL075C	            NULL	            NULL	            NULL	            NULL	            NULL	          120.10	          134.10
YBL076C	         1911.45	         1550.30	         1189.20	         1241.60	         1528.90	         1377.30	         1524.30
YBL077W	           99.20	          207.30	          244.50	          118.20	          128.70	          137.90	          129.10
YBL078C	           59.45	          860.20	          509.00	          410.00	          280.70	          242.50	          283.20
YBL079W	          145.15	          215.50	          282.30	          234.70	          170.80	          169.50	          230.20
YBL080C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL081W	          359.00	            NULL	          258.00	          272.80	          151.40	          189.20	          203.70
YBL082C	          183.90	            NULL	            NULL	          189.00	            NULL	          102.40	            NULL
YBL083C	          205.55	          132.90	           79.90	          126.90	          119.00	          167.50	           99.30
YBL084C	          112.90	          159.80	          139.20	          121.50	          122.30	           90.50	          140.70
YBL085W	          457.10	          387.00	          236.40	          177.00	          280.70	          230.60	          328.00
YBL086C	          150.10	           66.80	            NULL	           68.20	          164.30	           41.20	           94.30
YBL087C	        22073.40	        12466.10	        10455.30	         8133.90	         8778.70	        10183.50	        13678.00
YBL088C	           84.15	          163.90	          158.10	           25.70	            NULL	          110.30	          101.00
YBL089W	           79.35	            8.90	            1.60	           64.90	            NULL	           43.20	           38.00
YBL090W	          204.25	          502.70	          285.00	          216.20	          248.40	          214.90	          149.00
YBL091C	         1496.85	         2562.80	         2196.00	         1617.10	         1532.10	         1219.40	         1574.00
YBL091C-A	          450.55	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL092W	        13270.15	        10868.90	         7445.80	         5912.30	         6951.70	         6479.00	         8021.20
YBL093C	          482.05	          599.90	          325.50	          316.30	          403.60	          441.80	          505.30
YBL094C	          129.30	          139.10	          182.40	           86.70	           96.40	          122.10	          203.70
YBL095W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL096C	          240.85	            NULL	            NULL	            NULL	            NULL	            NULL	          160.60
YBL097W	            NULL	            0.70	            NULL	            NULL	            NULL	            NULL	            NULL
YBL098W	           39.00	          292.00	          349.80	            NULL	            NULL	           72.80	           96.00
YBL099W	          491.00	         1341.60	          741.20	          405.60	          626.70	          581.90	          775.30
YBL100C	           17.10	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL101C	          274.70	         1004.80	          476.60	          384.90	          562.10	          313.50	          437.30
YBL101W-A	          102.55	          157.70	          263.40	          261.90	          164.30	           86.60	          130.80
YBL101W-B	          129.65	          139.10	          293.10	          334.80	          128.70	           94.50	          163.90
YBL102W	          561.30	         1190.80	          673.70	          627.70	          675.20	          566.20	          682.50
YBL103C	           56.95	          104.00	           66.40	           98.60	           64.10	           35.30	           38.00
YBL104C	          130.50	           87.40	            NULL	            NULL	            NULL	           74.70	            NULL
YBL105C	          114.35	          199.00	           88.00	           94.30	          238.70	           78.70	           57.90
YBL106C	           80.55	           99.80	            NULL	            NULL	            NULL	            NULL	            NULL
YBL107C	          109.30	          238.30	            NULL	            NULL	            NULL	           80.70	            NULL
YBL108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL109W	          981.35	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL111C	          186.50	            NULL	            NULL	           82.30	            NULL	            NULL	            NULL
YBL112C	          365.60	          670.10	          482.00	          329.40	          416.50	          467.50	          626.20
YBL113C	         2078.35	         2459.40	         1661.60	         1028.20	         2366.40	         2664.10	         2137.30
YBR001C	          176.25	          399.40	          166.20	          108.40	          209.60	          141.80	          120.80
YBR002C	          283.90	          230.00	          160.80	          142.20	          106.10	          159.60	          185.50
YBR003W	          118.25	          339.50	          128.50	          149.80	          196.70	           58.90	          147.40
YBR004C	          188.05	          341.60	          168.90	          259.70	          261.30	          207.00	          434.00
YBR005W	           93.95	          564.70	          279.60	          683.20	          649.40	          751.70	          762.10
YBR006W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR007C	          101.10	          132.90	           61.00	           52.90	          106.10	          137.90	          152.30
YBR008C	          497.40	          800.30	          463.10	          492.70	          791.60	          524.70	          907.90
YBR009C	         5477.35	         5686.80	         2239.20	         1608.40	         3549.90	         4055.50	         5245.80
YBR010W	        16584.90	        11592.10	         4895.10	         5479.10	        15659.90	        17266.70	        20299.10
YBR011C	         3388.00	         5503.00	         4703.50	         4107.60	         4329.20	         3127.90	         4919.40
YBR012C	           70.90	          120.50	          150.00	           58.40	          183.70	           80.70	            NULL
YBR012W-A	         1807.95	         1184.60	         2741.20	         3478.40	         1037.40	         1365.50	         1398.30
YBR012W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR013C	           36.30	          242.40	          171.60	           95.40	          122.30	           82.60	          117.50
YBR014C	          676.40	         1668.10	         1046.20	          756.10	          739.90	          775.40	          902.90
YBR015C	          137.30	          161.80	           79.90	          122.60	          167.60	          128.00	          205.30
YBR016W	         1516.45	         6009.20	         2411.90	         1382.00	         2489.30	         2308.80	         2033.00
YBR017C	          124.35	          213.50	          233.70	           61.60	            NULL	          130.00	           97.60
YBR018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR019C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR020W	           49.80	            NULL	            NULL	            NULL	           64.10	            NULL	            NULL
YBR021W	          196.75	          217.60	            NULL	          361.00	          419.80	          406.30	          533.40
YBR022W	          100.60	          316.80	          201.30	           52.90	          180.50	          151.70	          119.20
YBR023C	          376.50	          401.50	          409.20	          325.10	          410.10	          424.10	          583.10
YBR024W	           59.70	          238.30	          190.50	          101.90	           60.80	           49.10	           71.10
YBR025C	         3431.20	         2327.20	         1567.10	         2262.60	         1913.70	         1239.20	         1711.50
YBR026C	          125.10	          469.70	          293.10	          258.70	          128.70	          135.90	          213.60
YBR027C	           25.80	          143.20	          128.50	           82.30	          109.30	           33.30	           44.60
YBR028C	           80.40	           60.60	           85.30	           70.30	           96.40	           55.00	          107.60
YBR029C	          403.80	          302.30	          293.10	          638.50	          361.60	          449.70	          521.80
YBR030W	           25.80	           31.70	            NULL	            NULL	            NULL	            NULL	            NULL
YBR031W	        17470.20	        19361.00	        10690.10	         8758.70	        12636.40	        10477.50	        13412.90
YBR032W	          101.45	           93.60	            NULL	            NULL	            NULL	           25.40	            NULL
YBR033W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR034C	          722.25	          787.90	          498.20	          500.30	          584.70	          532.60	          435.70
YBR035C	          878.35	         2639.20	         1891.00	         1237.20	         1632.40	         1375.30	         1522.60
YBR036C	          214.15	          889.10	          716.90	          874.70	          607.30	          587.90	          762.10
YBR037C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR038W	           98.60	           91.60	           55.60	           89.90	          122.30	            NULL	           77.80
YBR039W	          756.65	         1506.90	         1040.80	          979.20	         1118.20	          964.80	         1290.60
YBR040W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR041W	          364.25	          362.20	          233.70	          211.80	          174.00	          228.70	          342.90
YBR042C	          226.90	          176.30	          147.30	          143.30	            NULL	          151.70	          159.00
YBR043C	          212.65	          428.40	          193.20	          109.50	          345.40	          331.30	          400.90
YBR044C	           71.60	            NULL	            NULL	           12.70	            NULL	            NULL	           54.60
YBR045C	            NULL	            NULL	            NULL	            0.00	            5.90	            NULL	            NULL
YBR046C	          207.85	         1653.60	         1073.10	          589.60	          769.00	          495.10	          603.00
YBR047W	            NULL	          240.30	           34.00	           21.40	            NULL	            NULL	            NULL
YBR048W	        11418.90	         8149.80	         6587.50	         5537.90	         5710.00	         6092.20	         6254.90
YBR049C	          445.25	         1168.10	          841.00	          787.70	          807.80	          647.10	          843.30
YBR050C	          194.15	          469.70	            NULL	          129.10	           73.80	           90.50	          110.90
YBR051W	            NULL	            NULL	            NULL	            0.00	            NULL	            NULL	            NULL
YBR052C	          660.60	         2027.60	         1030.00	          524.20	          474.70	          574.10	          619.60
YBR053C	          184.10	         1023.40	          638.60	          359.90	          423.00	          378.70	          376.00
YBR054W	          250.80	          151.50	          147.30	          100.80	           99.60	            NULL	          137.40
YBR055C	           81.90	          151.50	          160.80	           44.20	           44.70	           60.90	           74.40
YBR056W	          144.90	         1040.00	          527.90	          277.20	          497.40	          297.70	          405.80
YBR057C	            NULL	           33.70	           36.70	            NULL	            NULL	           21.40	            NULL
YBR058C	          190.75	          364.30	          239.10	          235.80	          203.10	          203.00	          245.10
YBR059C	          254.55	          899.50	          592.70	          410.00	          419.80	          461.60	          550.00
YBR060C	           58.55	           97.80	           63.70	            1.80	           73.80	            3.70	           19.80
YBR061C	          333.70	            NULL	            NULL	          277.20	            NULL	          214.90	          225.20
YBR062C	         1032.70	         2110.30	         1127.10	         1028.20	          917.80	         1104.90	         1100.10
YBR063C	          168.55	          387.00	          320.10	          264.10	          345.40	          276.00	          354.50
YBR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR065C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR066C	          143.05	          184.60	            NULL	          120.40	          206.40	          311.60	          250.10
YBR067C	         2896.90	         1006.90	          652.10	          530.80	          503.80	          475.40	          571.50
YBR068C	         1059.90	         1331.30	          530.60	          424.10	          545.90	          587.90	          831.70
YBR069C	         1125.45	          905.70	          390.30	          443.70	          497.40	          688.50	          931.10
YBR070C	          100.70	            NULL	           47.50	            NULL	          206.40	          177.40	          289.80
YBR071W	          153.40	          205.20	          123.10	          153.10	          245.20	          378.70	          369.40
YBR072W	            NULL	          851.90	          646.70	          298.90	          361.60	          124.10	           92.70
YBR073W	          881.80	          637.10	          571.10	          534.00	          746.40	          947.10	          995.70
YBR074W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR075W	          357.25	          265.10	          174.30	          172.70	          174.00	          141.80	          195.40
YBR076W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR077C	          179.30	          405.60	          214.80	          226.00	          251.60	          317.50	          400.90
YBR078W	         1112.20	          411.80	          808.60	         1392.90	          891.90	         1097.10	         1530.90
YBR079C	         1256.65	          862.30	          646.70	          686.40	          856.30	          903.60	          941.00
YBR080C	          378.30	          765.20	          552.20	          300.00	          439.20	          357.00	          500.30
YBR081C	           71.20	           97.80	            NULL	           27.90	           73.80	           51.00	           61.20
YBR082C	         4180.15	         3575.20	         2803.30	         2213.60	         2783.60	         2334.50	         3494.40
YBR083W	          622.95	          296.10	          271.50	          324.00	          358.30	          313.50	          318.00
YBR084C-A	         9020.45	         6689.00	         4881.60	         3922.50	         4594.40	         4657.40	         5734.60
YBR084W	         1252.20	          515.10	          430.80	          426.30	          516.80	          585.90	          755.50
YBR085W	          314.95	          345.70	          282.30	          378.40	          229.00	          260.30	          332.90
YBR086C	         1550.05	         1391.20	          776.20	          681.00	          649.40	          789.20	         1042.10
YBR087W	          420.40	          422.20	          241.80	          307.60	          206.40	          242.50	          323.00
YBR088C	         1597.35	          647.40	         1016.50	          884.50	         1173.20	         1624.00	         1781.10
YBR089W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           11.50
YBR090C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR091C	          226.75	          432.50	          268.80	          184.60	          384.20	          193.10	          263.30
YBR092C	         1225.40	          436.60	          293.10	          352.30	          487.70	          372.70	          362.80
YBR093C	          859.20	          539.90	          519.80	          366.40	          300.10	          110.30	          175.50
YBR094W	            NULL	          172.20	           61.00	           60.50	            NULL	           55.00	           86.00
YBR095C	          151.35	           35.80	           31.30	           51.80	            5.90	           23.40	           18.10
YBR096W	          722.05	         1963.60	         1173.00	         1133.80	         1098.80	          931.30	         1300.60
YBR097W	           71.45	          143.20	           79.90	           82.30	           70.50	           80.70	           49.60
YBR098W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR099C	           89.90	            NULL	            NULL	            NULL	            9.10	            NULL	            NULL
YBR100W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            6.50
YBR101C	          524.45	          360.20	          322.80	          350.10	          148.10	          226.70	          175.50
YBR102C	           16.55	           58.50	           79.90	           20.30	           18.80	           76.70	           26.40
YBR103W	          245.20	          199.00	          136.50	          109.50	          106.10	          139.90	          195.40
YBR104W	          195.10	          207.30	          195.90	          120.40	          245.20	          208.90	          140.70
